,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
GABRA1,499320016,-0.4137,-0.2126,-1.4174,0.2552,0.7408,-0.0922,-0.1389,-0.1812,0.2224,-0.4289,-1.2083,-0.573,-0.3219,-0.2625,-0.6807,-0.5742,-0.2019,-0.206,-0.1605,0.1425,0.0167,-0.2537,0.4502,-0.9507,-0.6233,-0.0457,-0.2005,-0.4028,-0.6,-0.0289,0.0871,-0.6887,-0.3211,-0.6771,0.091,-0.3133,-0.8079,-0.7621,-1.1573,-0.2927,0.0889,-0.4498,-0.0671,-0.1229,-0.783,0.1018,0.0989,-0.1735,-0.5322,-0.61,-0.2288
GABBR2,499328961,0.0024,0.0339,-0.1607,0.3361,0.2094,-0.0342,0.1926,-0.1242,0.0206,-0.1485,0.2142,-0.778,-0.483,0.0317,-0.11,-0.4422,0.4444,0.0746,0.0433,-0.1313,-0.1326,-0.3207,0.1089,-0.4109,-0.2206,0.4406,0.2698,-0.1198,-0.868,0.0707,-0.0675,-0.8347,-0.9365,0.4708,0.5055,0.0061,-0.5012,-0.5901,-0.1653,0.1447,-0.046,-0.0264,-0.0688,-0.0713,-0.2736,0.1026,0.3907,0.1333,-0.6695,-0.258,-0.0919
ATP2A2,499336542,-0.264,0.3188,0.0414,1.2404,1.8529,0.3321,0.6509,0.3123,0.2909,0.0177,1.4276,-0.3489,0.0491,0.3862,-0.4701,-0.1263,1.8947,0.3772,0.5688,0.2842,0.7058,-0.0588,1.323,0.1167,-0.3264,1.3535,0.4718,-0.0862,-0.8295,0.6555,-0.0969,-1.8585,-1.8182,1.2311,1.7489,0.8199,-0.9458,-0.9139,-0.2619,0.9302,0.5392,0.3535,0.2837,0.6606,-0.2148,0.9936,1.6159,0.7648,-0.938,-0.4458,0.1487
GABBR1,499320988,-1.041,0.7148,1.0941,0.8389,0.5561,0.2,0.1158,-0.235,0.4862,0.2003,1.0187,-0.3882,0.7112,1.3701,0.6491,-0.4995,1.2329,0.4254,0.338,0.4273,1.0558,-0.2201,0.6094,0.7335,0.0413,0.5018,0.8666,0.3933,-0.1705,1.3894,0.57,-0.0801,-0.5176,0.7169,1.0065,0.45,-0.1207,-0.7074,0.0775,0.9833,1.2876,0.8674,-0.2939,0.272,0.6422,0.7885,1.2304,0.4967,-0.0706,-0.2277,0.0109
GRM4,499321302,0.1598,1.1632,-1.5335,-0.1208,-1.1609,0.1345,-0.2319,-1.1309,0.9595,-1.03,-1.6685,-0.8209,-1.7392,-0.1432,0.9664,0.9732,-1.22,-0.9231,-1.8131,-0.7674,-1.7822,-2.7957,-0.5427,-0.7387,-0.4903,-1.5619,1.0435,-0.8609,-1.2098,0.594,2.3302,-2.8184,-0.9544,-2.2959,0.9178,-1.1449,-1.7756,-0.7864,-2.0357,-0.4662,0.5943,-0.6199,-1.1189,-1.4983,-0.6297,0.1182,-0.4726,-0.6335,-1.5113,-1.5237,0.4077
NOS1,499336673,1.255,-1.1965,1.7744,0.5659,0.3544,0.3119,0.2905,0.3971,0.6083,0.612,1.6308,0.9388,0.3777,1.5598,1.2158,1.1401,1.9855,0.5579,0.2256,0.8198,0.5399,0.1034,0.3968,0.408,2.2095,1.6756,0.2353,0.9174,-0.6043,2.9681,0.05,-1.0163,0.4375,1.0091,0.1564,0.7498,0.3284,0.324,0.956,1.3558,0.9024,0.9211,0.8313,0.1319,-0.7268,1.9193,1.607,0.24,0.6554,0.5912,1.0323
CST3,499349897,-0.0497,1.6876,1.3347,1.0731,1.4205,-0.3385,0.8884,0.243,0.4249,1.4306,1.3523,0.5886,1.7689,1.0402,1.7707,0.0964,0.8341,1.2281,-0.2902,0.9971,0.4919,1.1821,0.3084,1.6924,1.6225,-0.9825,0.8599,-0.4506,1.6812,1.3093,-0.0911,1.5374,2.3684,-2.0908,0.0677,0.9247,0.5474,0.7875,1.8754,1.6116,1.8689,0.5361,-0.9506,0.4818,1.3915,1.0493,1.5095,1.2022,1.2237,-0.5437,-0.8763
KCNJ6,499351230,0.8873,1.1729,0.7068,1.6418,1.6038,1.0149,1.4021,1.1146,1.2489,1.1333,1.4418,0.3012,0.6541,0.8644,0.4262,0.6718,1.4762,1.504,1.3849,1.1,0.8639,1.0587,1.4357,0.4334,0.0564,1.7574,1.5574,1.0968,0.4264,-0.0248,1.1583,0.7285,-0.2977,1.6547,1.7499,1.2746,1.1286,0.4443,0.5705,0.8882,0.6541,1.4913,1.4739,1.4046,1.1332,0.621,1.7509,1.5631,0.5932,0.7681,0.6678
ATP6AP2,499352976,0.6523,0.3114,0.1877,1.336,2.0649,-0.1518,0.3712,0.369,0.3319,0.3394,1.4072,0.2914,0.5975,-0.5413,-0.1145,-0.1937,1.6063,0.4235,1.0326,-0.0095,0.6425,0.813,1.7,0.0532,0.3443,0.1362,0.0132,0.2557,-0.2947,0.8488,-0.1789,-1.0061,-0.5255,0.6816,1.8774,0.1461,-0.2912,0.4382,-0.8119,0.3284,0.5069,0.0699,-0.1942,1.9279,-1.0868,1.7425,1.6689,0.9664,-0.3818,-0.3425,-0.9654
MAPK10,499316848,-0.7626,-0.4247,-0.7983,0.559,1.6681,0.0122,0.1244,0.0138,0.0158,-0.1181,0.0681,-0.2388,-0.2657,-0.1253,-0.9766,-0.4748,0.4612,-0.2282,0.2449,-0.2105,0.379,0.2742,0.7081,-0.2932,-0.6385,0.4452,-0.2448,0.1302,-0.7997,-0.2058,-0.469,-1.1537,-0.6086,0.4299,0.3373,0.5384,-0.7717,-0.5023,-0.735,0.2356,0.1823,-0.2917,-0.1318,0.4867,-0.6394,0.5533,0.642,0.0537,-0.3283,-0.6249,-0.3197
