epilepsy genes,gene id,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
CHRNA2,499326170,0.6734,0.25,0.7398,-0.5304,0.4109,0.6465,2.2682,0.0594,0.9422,0.3265,-0.2774,0.8237,2.593,0.5033,-0.8042,1.4926,-0.4823,-1.364,0.3423,0.6356,1.0827,0.8793,1.1575,-0.0281,0.32,0.3648,0.4847,0.7022,0.7001,0.352,0.9428,0.1085,0.5867,0.0182,0.6739,1.1737,0.7433,1.0003,-0.4073,-0.1084,0.2618,1.0866,0.2093,0.4822,0.4815,0.7373,0.6061,1.0275
RTN4,499310141,0.7528,1.7346,0.7881,-0.2825,-0.0852,0.336,-0.1089,0.6659,0.6085,0.5698,-0.0916,-0.9162,1.0762,0.9436,0.4691,-1.6651,0.7193,0.3994,0.8945,0.4789,0.2059,-0.4111,0.3159,1.2903,0.051,0.1815,-0.7667,-0.6828,0.4945,0.312,0.6772,0.0896,-0.3014,-1.5232,0.6397,0.2345,0.5826,0.5321,0.0209,0.7319,1.0949,0.3096,0.2093,-1.9297,0.5504,0.1673,0.3946,1.6437
CNTNAP2,499325421,1.1824,0.533,1.1378,-0.2655,0.3976,0.5124,0.894,1.1061,0.9613,0.0709,0.261,0.3435,1.0138,0.8693,-0.029,0.6733,0.6907,0.0483,0.787,1.0107,0.8246,-0.254,0.8585,0.9404,0.3154,0.4572,0.2127,0.2119,0.6588,0.5948,0.9253,0.4195,0.6608,-0.2194,-0.1648,1.1057,0.8916,0.6428,0.6744,0.1718,1.0881,0.5539,1.0215,0.1893,0.7298,0.5343,0.1686,0.8467
GRIA2,499317616,0.8519,0.2406,0.5094,-0.3227,-0.0525,0.3409,0.4209,0.4409,0.4958,-0.0447,0.3345,-0.1307,0.4239,0.5251,0.0178,-0.3286,0.3864,0.2372,0.4082,0.5651,0.3888,0.0927,0.1392,0.3158,0.2392,0.0373,-0.0433,-0.0068,0.3793,0.3185,0.4425,0.1312,-0.2347,-0.602,-0.0033,0.4876,0.3683,0.4303,0.3834,0.0436,0.5486,0.3996,-0.1086,0.1327,0.2536,0.3215,0.0968,0.6987
LRRC1,499321699,-1.0563,-0.5879,-1.2373,0.6004,-1.0838,-0.6008,-1.491,-0.776,-0.2062,-0.2817,-0.9615,-0.5627,-1.145,-1.2935,0.4804,-1.0318,-0.9387,-0.2205,-0.1491,-1.0451,-0.4049,-0.2975,-0.5507,-0.6766,-0.6743,-0.7787,-0.8278,-0.5782,-0.3209,-0.7627,-1.1106,-0.1122,-0.4622,0.4248,-0.442,-1.2884,-0.6958,-1.157,-0.6904,-0.6117,-0.798,-0.4318,-0.4807,-0.5832,-0.4521,-0.5932,-0.8359,-0.5828
KCNV1,499327226,1.3026,0.257,1.2264,0.3742,0.3802,0.7268,0.5971,1.1816,0.7399,0.2641,0.2195,0.3824,0.7386,0.7479,0.3701,0.7747,0.8628,0.5044,0.8173,0.985,0.6448,0.4072,0.7835,0.8712,0.6947,0.4301,0.57,0.6707,0.9103,0.7993,1.0778,0.3222,0.4481,0.0911,0.7059,0.9485,1.1271,0.7691,0.4663,0.0139,1.0435,0.7662,0.8693,-0.1251,0.6467,0.8837,0.5087,1.1473
CACNB4,499311652,1.024,0.9754,1.0577,0.1219,0.4892,0.6972,0.5221,0.872,0.9209,0.2717,0.5952,0.3373,0.9835,0.8254,0.318,0.3087,0.8087,0.6058,0.918,0.7808,0.6074,0.106,0.7949,0.7371,0.4341,0.8562,0.3791,0.3906,0.7149,0.7179,0.8372,0.4848,0.8387,0.1296,0.2743,0.9006,0.7576,0.7406,0.63,0.3289,1.1538,0.5054,0.5946,0.039,0.7809,0.7665,0.5802,0.9531
LGI1,499331165,0.2878,0.3896,0.4864,0.2254,-0.3987,-1.1975,-0.1234,0.162,0.3431,0.1944,0.5673,0.0145,0.4493,0.0953,0.042,-0.3469,0.36,0.4099,0.6169,0.004,0.5442,-0.0307,0.6107,-0.6838,0.254,0.0528,-0.2013,0.1824,0.2806,0.9997,0.4759,-0.4205,-0.8788,0.0492,-0.0933,-0.0241,0.182,1.0855,0.2289,0.2483,0.5002,-0.2417,-0.2013,0.2731,-0.4729,0.2005,0.0024,0.9374
ABAT,499342332,0.9975,0.4166,1.2176,0.0054,0.3848,0.2559,1.182,1.3102,0.2815,0.8971,0.2358,0.5253,0.3731,1.2298,0.4011,0.8913,0.818,0.2357,0.7548,0.9164,1.1706,0.082,1.3096,0.3995,0.3418,0.7994,0.3187,0.3447,0.8201,0.6816,0.591,0.8743,-0.2107,-0.3315,0.4879,0.689,1.0222,0.3972,0.6175,0.4092,1.3577,1.3913,0.9879,-0.651,0.8919,0.5561,0.6344,1.4577
DLGAP2,499325667,0.7909,1.0377,1.0177,0.1688,0.5494,0.7757,0.7197,0.9203,0.4519,0.1802,0.4789,0.5542,0.4488,0.9312,0.2566,0.8235,0.5516,0.2926,0.3488,0.9,0.6545,0.1967,0.7269,0.572,0.5427,0.5488,0.8709,0.3456,0.8325,0.6714,0.7954,0.4411,0.4909,-0.2106,0.39,1.3802,0.8709,0.6919,0.7501,0.0175,0.4094,0.6499,0.6463,0.8404,0.5616,0.5708,0.2872,0.6915
