epilepsy genes,gene id ,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91
ABAT,499342332,1.0543,1.0139,0.9044,0.3524,0.1244,1.1304,0.6546,1.1618,0.4024,0.8328,0.3435,-0.1906,0.5649,1.5083,1.207,0.4794,1.1081,0.6265,0.5041,0.7574,0.6687,0.62,1.2111,1.1809,0.7866,0.7556,1.1286,0.4134,0.6858,0.7303,0.5258,0.3611,1.3032,0.6099,0.6101,0.5568,0.7084,0.6049,1.5744,-0.0382,-0.1823,0.4135,0.6216,0.8026,-0.1592,0.3543,1.2574,0.3294,1.9669,0.6805,0.4696,1.4814,0.5955,0.2581,0.5763,0.9593
GRM7,499313027,0.6782,0.7894,0.6814,0.4909,-0.3118,-0.1529,0.7257,0.7837,0.2319,0.1979,0.7049,-0.1875,0.5312,0.4012,0.4496,0.4276,0.6931,0.7493,0.451,0.6459,0.2933,0.5706,0.4983,0.7227,0.2718,0.2282,0.7889,-0.0095,0.5876,0.8113,0.335,0.6122,0.5296,-0.1277,0.627,0.5242,0.131,0.2355,0.5261,0.3704,0.6244,0.0699,0.764,0.3056,0.3404,0.1916,0.7445,-0.831,1.197,0.2127,0.5664,0.8606,0.4491,0.0207,0.4917,0.3707
KCNV1,499327226,1.0711,1.0715,0.9629,0.8848,0.2475,0.4712,0.7135,1.2833,-0.0554,1.2041,0.6493,0.3048,0.7756,0.7139,0.8288,0.7261,0.5306,0.5012,0.9178,0.835,0.5942,0.7657,0.5889,0.7121,0.6742,0.6134,0.7117,0.3892,0.8873,1.1769,0.8059,0.9565,0.5323,0.5004,0.8981,0.8127,0.7493,0.7511,0.7804,0.0949,0.3329,0.5438,0.8664,0.9329,0.6934,0.3374,0.7672,0.4093,1.2183,0.9441,0.7387,0.6762,0.8234,0.4258,0.5212,1.0192
GRIA2,499317616,0.4806,0.3635,0.4293,0.2189,-0.4554,0.2707,0.6906,0.7094,0.2929,0.383,0.3346,-0.3898,0.403,0.4506,0.3044,0.321,0.4765,0.4887,0.1864,0.3895,0.3253,0.5737,0.2533,0.5372,0.298,0.2768,0.4379,-0.1501,0.383,0.7953,0.3466,0.5713,0.2458,-0.0021,0.2191,0.0551,0.3567,0.3774,0.5085,-0.1904,-0.0613,-0.2459,0.1833,0.2731,0.4213,0.4323,0.9915,-0.2106,0.9656,0.1768,0.5939,0.553,0.1185,0.0801,0.1147,0.6421
HOMER1,499318917,0.6674,0.4172,0.9002,0.4841,-0.1734,0.8344,0.5893,0.7983,0.7636,0.2094,0.7498,1.2015,0.6256,0.2549,0.1503,0.655,0.3774,0.8744,0.264,1.2643,0.1299,0.1279,1.1957,0.8027,0.8489,0.439,0.6635,0.221,0.7102,1.3507,0.4168,0.8706,0.4356,0.009,0.7461,0.5351,0.5564,0.9059,0.5642,-0.1398,0.0975,0.1238,0.8262,1.0345,0.9407,0.2693,0.8799,-0.1901,0.9266,0.4345,0.7639,0.9298,0.3584,0.1397,0.6321,0.8252
ARHGEF9,499353348,0.8204,0.4234,0.4048,0.1091,-0.2329,0.475,0.4299,0.5879,0.2894,0.4298,0.18,-0.0147,0.2772,0.5173,0.3977,0.3302,0.1789,0.4244,0.3371,0.4443,0.4004,0.3711,0.4452,0.4703,0.082,0.1407,0.6956,0.0569,-0.0676,0.786,0.3017,0.353,0.2952,0.2067,-0.0009,0.0294,0.1241,0.3218,0.5906,0.1726,-0.3378,-0.1928,0.4887,0.2618,0.5135,0.2138,0.7835,-0.1452,0.7543,0.3576,0.5651,0.762,0.0014,-0.1037,0.1454,0.4069
KCNQ3,499327431,0.8701,0.5909,0.5022,0.3252,-0.2293,0.9734,0.5446,0.7148,0.6712,0.2721,0.2861,0.4188,0.4987,0.6797,0.6496,0.7549,0.4068,0.7015,0.4891,0.855,0.5568,0.3793,0.5534,0.5807,0.486,0.3801,0.9552,0.3539,-0.0953,0.9233,0.8429,0.3789,0.6189,0.2323,0.3545,0.2465,0.4926,0.722,0.7756,0.5463,0.3024,0.1525,0.7235,0.5843,0.7316,0.2731,0.6612,0.1705,0.7867,0.7767,0.9352,0.8265,0.4858,0.0011,0.4477,0.095
TSC1,499329555,0.6345,0.8961,0.6328,0.2556,1.1032,1.0593,0.1584,0.6507,0.3202,0.0852,0.1797,1.8704,-1.0549,0.8085,1.0869,0.3264,0.9544,0.7685,0.2623,1.2655,0.1106,0.6807,1.5774,0.3001,0.1951,0.4601,1.6326,-0.1072,-0.624,1.7626,0.5298,0.5493,0.6888,0.6328,0.9513,0.4976,0.8238,1.6449,0.1834,-1.3299,-0.0174,-1.0405,0.9375,0.6352,0.7984,0.0044,1.0786,1.5168,0.8842,0.4181,0.9354,0.8244,-0.107,0.4973,0.5821,1.2734
MAPK10,499316848,0.9604,0.9773,0.4608,0.2932,0.0242,1.1111,0.3272,0.966,0.7172,0.7201,0.7869,-0.153,0.6525,0.6881,0.3977,0.7883,0.4651,0.9825,0.3466,0.8874,0.5685,0.4381,1.0094,0.6573,0.7475,0.6986,1.0629,0.1197,0.0251,1.2615,0.736,0.4833,0.7862,0.2746,0.1591,0.425,0.3847,1.224,1.0868,0.0658,-0.4007,-0.1368,0.6071,0.5079,0.9329,0.4774,0.9986,0.2525,1.558,0.6669,0.5195,1.342,0.3438,0.029,0.4631,0.8756
GABRB3,499340551,0.496,0.5768,0.2559,0.2887,-0.1145,0.4307,0.4575,0.4132,0.3147,0.7455,0.2889,0.0224,0.4027,0.1879,0.2935,0.4166,-0.0482,0.4272,0.2011,0.7453,0.3056,0.5183,0.2367,0.3987,0.3893,0.2387,0.426,0.4793,-0.0258,0.9211,-0.0747,0.2722,0.501,0.0707,0.2735,0.2368,0.2328,0.7176,0.3476,-0.2682,0.2619,-0.0139,0.4256,0.2625,0.6259,0.0637,0.4535,0.0726,0.566,0.2182,0.3102,0.6266,0.1249,-0.1757,0.3024,0.7835
ATP6AP2,499352976,1.1245,-0.4645,0.1663,0.0218,-0.001,1.3057,1.4358,0.9983,0.5402,-0.4154,0.4605,0.1812,0.7533,0.7238,0.5933,0.835,0.9605,0.109,0.5849,0.8166,0.7221,0.2618,0.7092,0.7327,0.7724,0.7587,0.4332,-0.5249,-0.0586,1.8347,1.0676,0.7299,0.4518,-0.2355,0.1491,0.3686,-0.1163,1.263,0.8856,-0.2632,0.6733,-0.3925,0.3877,0.2956,-0.113,-0.1983,2.5914,-1.3404,2.0886,0.4485,0.9573,1.4545,0.4498,0.0868,0.0266,0.2
