,,DONOR #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epilepsy genes,gene id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
NOS1,499336673,1.9615,0.9189,0.5761,-0.2526,1.0342,-0.0701,0.3474,1.6511,1.1256,0.3827,1.7007,0.2042,1.3001,0.4174,0.4291,1.4353,0.6657,0.36,1.011,-1.592,2.5474,0.6101,1.0257,0.3576,0.1972,0.9837,0.3157,1.3915,1.8589,1.4724,-0.105,0.7859,1.6224,0.8719,0.9408
CST3,499349897,1.2626,1.1895,-0.2232,-0.4939,0.2563,1.8428,1.2895,0.7741,0.867,0.4859,1.0146,1.0056,1.0451,1.6642,-0.816,-0.3574,0.4959,0.6097,1.9718,1.0989,1.4712,0.7379,-0.3169,1.2008,0.335,1.3201,0.0551,1.2828,0.8958,0.856,-0.3303,0.8928,0.1143,1.5348,-0.2316
KCNJ6,499351230,1.1271,1.1435,1.5145,1.1232,1.394,0.694,0.567,0.8185,0.9517,0.4719,0.2548,0.5591,1.1281,1.6475,1.8433,1.7175,0.8986,1.4646,0.9787,1.1268,0.8129,0.5941,0.6275,0.9125,0.3987,0.7986,1.1654,1.3023,1.4588,0.3507,1.7445,1.1993,-0.0152,1.1922,0.5498
ATP6AP2,499352976,0.7647,1.076,0.8504,-1.373,0.6622,0.6858,-0.158,-0.1116,-0.8561,-0.1491,0.6019,-0.1704,0.4849,1.5679,0.6333,0.0599,0.0642,-0.9463,0.386,-1.0485,2.1033,0.3527,0.367,0.3966,1.1003,0.0196,0.308,0.5965,0.4202,-0.7842,0.3886,0.6285,-1.6702,-0.4012,0.4813
MAPK10,499316848,0.193,0.0419,-0.0146,-0.4247,0.4741,-0.1421,-0.2981,-0.3386,-0.4248,-0.5354,0.2353,-0.4019,-0.7563,0.5183,0.6606,0.1859,0.2099,-1.1278,-0.1877,-0.2854,0.1444,-0.1417,-0.298,0.2065,-0.3756,-0.5259,0.2671,0.1536,0.2353,-0.3105,0.1741,0.0749,-0.8131,-0.5547,-0.4147
SYN1,499353079,0.6836,0.645,0.4151,0.2643,0.375,-0.0826,-0.5206,0.1014,0.4347,-0.0567,0.442,-0.0557,0.6001,0.1159,0.3264,0.5135,0.2268,0.2693,0.6157,0.2049,0.4059,-0.0968,0.1113,0.1601,-0.251,0.4722,0.0309,0.2591,0.6815,-0.5066,0.7123,0.2503,-0.0896,0.4859,0.2577
LGI1,499331165,1.0615,1.1734,0.6202,0.5717,1.1207,1.0433,0.0871,0.5469,0.7121,-0.4434,-0.0632,-0.5466,1.4098,1.7819,1.7421,1.327,1.256,0.3374,1.1146,0.679,1.2683,-1.2777,0.9226,1.1079,0.5211,0.9594,0.6599,0.7072,0.8205,0.4183,0.2668,1.0006,-0.3534,1.0048,0.6294
LGI2,499316139,-0.8768,-1.0459,0.5903,-2.2796,-0.567,-0.8181,-0.5211,-0.8865,-1.0863,-0.7851,-0.9123,-1.8433,0.1427,-1.4765,0.3387,-0.8542,0.4398,-1.2691,-0.851,-1.8596,-0.2249,-1.8465,0.2019,-0.5811,0.3645,-2.0111,-0.3924,-0.0662,-1.1016,-0.4812,-1.8364,-1.2224,-1.4294,-0.6081,-0.4846
GRM3,499324363,-0.8124,-1.3497,-0.6218,-1.7545,-0.3881,-0.5631,0.0887,-0.5922,-1.2975,-0.1123,-0.3303,-0.0107,-1.4135,-0.5239,-1.6878,-1.4778,-0.716,-0.7033,-1.3692,-0.4073,0.322,-0.2343,-1.2409,-0.9428,-0.4666,-1.2102,-0.3113,-0.6721,-1.1647,-1.0141,-1.6787,-0.9704,-1.4578,-0.6493,-0.1148
RTN4,499310141,-1.069,-0.3068,-0.3479,-1.7354,-0.476,-1.0597,-1.2609,-1.2089,-2.4015,-1.5437,-1.2474,-1.6436,0.0713,-0.1488,-0.0326,-0.6114,-0.7677,-2.4182,-1.3881,-1.9238,1.1102,-2.5629,-0.0087,-0.9958,-0.0999,-1.2161,-0.3354,-0.1847,-1.2864,-1.6148,-1.3297,-1.5293,-1.9277,-1.691,-0.7828
CLIC5,499321578,0.4078,0.4616,-1.2442,-0.7402,0.0725,0.4256,-0.7114,0.2124,-0.2082,-1.982,2.3949,-0.7683,-0.6169,-0.8398,-0.0036,-0.0739,-0.1839,-0.8398,-0.6569,-0.4487,1.728,-0.5095,-0.6857,-0.1323,1.006,-1.2456,-1.267,-0.8104,-0.9253,0.7533,-1.3946,0.716,0.2608,0.7444,0.2219
